MODEL,CLASS,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,3_Hipercelularidade,4,ROS,RGB,True,439,30,0,469,0.02965229667320069,0.9680170575692963,1.0,0.9360341151385928,0.9398797595190381,0.96900826446281,0.9680170575692963,0.9379549664232693
efficientnet,3_Hipercelularidade,5,ROS,RGB,True,451,18,12,457,0.06564435060979969,0.9680170575692963,0.9744136460554371,0.9616204690831557,0.9621052631578947,0.9682203389830508,0.9680170575692963,0.936110722730419
efficientnet,4_Hipercelularidade_Pura_Sem_Crescente,1,ROS,RGB,False,57,1,3,55,0.17509487785142044,0.9655172413793103,0.9482758620689655,0.9827586206896551,0.9821428571428571,0.9649122807017544,0.9655172413793103,0.9315885051121782
efficientnet,4_Hipercelularidade_Pura_Sem_Crescente,2,ROS,RGB,False,56,2,5,53,0.21797416898710975,0.939655172413793,0.9137931034482759,0.9655172413793104,0.9636363636363636,0.9380530973451328,0.9396551724137931,0.8804889577780073
efficientnet,4_Hipercelularidade_Pura_Sem_Crescente,3,ROS,RGB,False,55,1,5,51,0.23407862441880362,0.9464285714285714,0.9107142857142857,0.9821428571428571,0.9807692307692307,0.9444444444444444,0.9464285714285714,0.8951435925492911
efficientnet,4_Hipercelularidade_Pura_Sem_Crescente,4,ROS,RGB,False,46,10,3,53,0.3198015476976122,0.8839285714285714,0.9464285714285714,0.8214285714285714,0.8412698412698413,0.8907563025210085,0.8839285714285714,0.7739272542569892
efficientnet,4_Hipercelularidade_Pura_Sem_Crescente,5,ROS,RGB,False,43,11,5,49,0.289675760600302,0.8518518518518519,0.9074074074074074,0.7962962962962963,0.8166666666666667,0.8596491228070176,0.8518518518518519,0.7080881928749334
efficientnet,4_Hipercelularidade_Pura_Sem_Crescente,1,ROS,RGB,True,14,44,0,58,0.13497711255632597,0.6206896551724138,1.0,0.2413793103448276,0.5686274509803921,0.725,0.6206896551724138,0.3704792868174742
efficientnet,4_Hipercelularidade_Pura_Sem_Crescente,2,ROS,RGB,True,21,37,0,58,0.15404412047616367,0.6810344827586207,1.0,0.3620689655172414,0.6105263157894737,0.7581699346405228,0.6810344827586207,0.4701623459816273
efficientnet,4_Hipercelularidade_Pura_Sem_Crescente,3,ROS,RGB,True,24,32,0,56,0.15029648584978922,0.7142857142857142,1.0,0.42857142857142855,0.6363636363636364,0.7777777777777778,0.7142857142857143,0.5222329678670935
efficientnet,4_Hipercelularidade_Pura_Sem_Crescente,4,ROS,RGB,True,20,36,0,56,0.1732882899897439,0.6785714285714285,1.0,0.35714285714285715,0.6086956521739131,0.7567567567567568,0.6785714285714286,0.4662524041201569
efficientnet,4_Hipercelularidade_Pura_Sem_Crescente,5,ROS,RGB,True,20,34,2,52,0.18273928540724296,0.6666666666666666,0.9629629629629629,0.37037037037037035,0.6046511627906976,0.7428571428571429,0.6666666666666666,0.4138204408845326
efficientnet,5_Crescent,1,ROS,RGB,False,162,6,3,165,0.08179466355414618,0.9732142857142857,0.9821428571428571,0.9642857142857143,0.9649122807017544,0.9734513274336283,0.9732142857142857,0.9465795049390483
efficientnet,5_Crescent,2,ROS,RGB,False,163,3,0,166,0.07273615501731275,0.9909638554216867,1.0,0.9819277108433735,0.9822485207100592,0.991044776119403,0.9909638554216867,0.982088102677208
efficientnet,5_Crescent,3,ROS,RGB,False,162,4,10,156,0.1334298197404448,0.9578313253012049,0.9397590361445783,0.9759036144578314,0.975,0.9570552147239264,0.9578313253012049,0.9162613621237831
efficientnet,5_Crescent,4,ROS,RGB,False,158,7,0,165,0.07050232896299073,0.9787878787878788,1.0,0.9575757575757575,0.9593023255813954,0.9792284866468842,0.9787878787878788,0.9584386527904594
efficientnet,5_Crescent,5,ROS,RGB,False,164,1,8,157,0.08641226038788304,0.9727272727272728,0.9515151515151515,0.9939393939393939,0.9936708860759493,0.9721362229102167,0.9727272727272727,0.9463065179450105
efficientnet,5_Crescent,1,ROS,RGB,True,149,19,1,167,0.060949787142730895,0.9404761904761905,0.9940476190476191,0.8869047619047619,0.8978494623655914,0.943502824858757,0.9404761904761905,0.8860528233320895
