MODEL,STAIN,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,HE,1,ROS,RGB,True,847,6,27,826,0.07005142680929421,0.9806565064478311,0.9683470105509965,0.9929660023446659,0.9927884615384616,0.9804154302670623,0.9806565064478312,0.9616044687782134
efficientnet,HE,2,ROS,RGB,True,838,14,95,757,0.2066265370504397,0.9360328638497653,0.8884976525821596,0.9835680751173709,0.9818417639429312,0.9328404189772027,0.9360328638497653,0.8760336789563543
efficientnet,HE,3,ROS,RGB,True,844,7,139,712,0.2906360713016465,0.9142185663924794,0.836662749706228,0.9917743830787309,0.9902642559109874,0.9070063694267516,0.9142185663924794,0.8385865893197131
efficientnet,HE,4,ROS,RGB,True,840,10,39,811,0.12668666680069532,0.9711764705882352,0.9541176470588235,0.9882352941176471,0.9878197320341048,0.9706762417713943,0.9711764705882353,0.9429018763823546
efficientnet,HE,5,ROS,RGB,True,833,13,0,846,0.03707070085253065,0.9923167848699763,1.0,0.9846335697399528,0.9848661233993015,0.992375366568915,0.9923167848699763,0.9847498397047867
efficientnet,PAMS,1,ROS,RGB,False,175,1,18,158,0.2579023553566499,0.9460227272727273,0.8977272727272727,0.9943181818181818,0.9937106918238994,0.9432835820895522,0.9460227272727273,0.8962361054131533
efficientnet,PAMS,2,ROS,RGB,False,170,6,32,144,0.27285190333019604,0.8920454545454546,0.8181818181818182,0.9659090909090909,0.96,0.8834355828220859,0.8920454545454546,0.792789285677568
efficientnet,PAMS,3,ROS,RGB,False,175,0,34,141,0.2446245929173061,0.9028571428571428,0.8057142857142857,1.0,1.0,0.8924050632911392,0.9028571428571428,0.82136541704978
efficientnet,PAMS,4,ROS,RGB,False,166,6,25,147,0.2421698625697646,0.9098837209302325,0.8546511627906976,0.9651162790697675,0.9607843137254902,0.9046153846153846,0.9098837209302326,0.8248153100285723
efficientnet,PAMS,5,ROS,RGB,False,165,6,26,145,0.2564804004995446,0.9064327485380117,0.847953216374269,0.9649122807017544,0.9602649006622517,0.9006211180124224,0.9064327485380117,0.818482961357149
efficientnet,PAMS,1,ROS,RGB,True,151,25,7,169,0.16005949201908978,0.9090909090909092,0.9602272727272727,0.8579545454545454,0.8711340206185567,0.9135135135135135,0.9090909090909091,0.8224946536632995
efficientnet,PAMS,2,ROS,RGB,True,138,38,1,175,0.15125278586691077,0.8892045454545455,0.9943181818181818,0.7840909090909091,0.8215962441314554,0.8997429305912596,0.8892045454545454,0.7962021854318575
efficientnet,PAMS,3,ROS,RGB,True,148,27,0,175,0.12039991280862264,0.9228571428571428,1.0,0.8457142857142858,0.8663366336633663,0.9283819628647215,0.9228571428571428,0.855963356299049
efficientnet,PAMS,4,ROS,RGB,True,130,42,0,172,0.12962813224903372,0.877906976744186,1.0,0.7558139534883721,0.8037383177570093,0.8911917098445595,0.877906976744186,0.7794078749371337
efficientnet,PAMS,5,ROS,RGB,True,133,38,12,159,0.14828015192907457,0.8538011695906432,0.9298245614035088,0.7777777777777778,0.8071065989847716,0.8641304347826086,0.8538011695906433,0.7159261999835319
