MODEL,FOLD,DATASET,COLOR_SPACE,WEIGHTED_LOSS,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,TRUE_POSITIVES,LOSS,ACC,SENSITIVITY,SPECIFITY,PRECISION,F1,AUC,MCC
efficientnet,1,ROS,RGB,False,156,20,57,119,0.5805625698783181,0.78125,0.6761363636363636,0.8863636363636364,0.8561151079136691,0.7555555555555555,0.78125,0.5753577836332401
efficientnet,2,ROS,RGB,False,159,17,58,118,0.5000445707277819,0.7869318181818182,0.6704545454545454,0.9034090909090909,0.8740740740740741,0.7588424437299035,0.7869318181818181,0.5900986520779056
efficientnet,3,ROS,RGB,False,164,11,77,98,0.6329730425562178,0.7485714285714286,0.56,0.9371428571428572,0.8990825688073395,0.6901408450704225,0.7485714285714287,0.5367814292525043
efficientnet,4,ROS,RGB,False,139,33,65,107,0.6372952308765677,0.7151162790697674,0.622093023255814,0.8081395348837209,0.7642857142857142,0.6858974358974359,0.7151162790697674,0.43787748820631456
efficientnet,5,ROS,RGB,False,158,13,53,118,0.4086736939106768,0.8070175438596491,0.6900584795321637,0.9239766081871345,0.9007633587786259,0.7814569536423841,0.8070175438596491,0.6315568116704567
efficientnet,1,ROS,RGB,True,78,98,0,176,0.1791142076253891,0.7215909090909091,1.0,0.4431818181818182,0.6423357664233577,0.7822222222222223,0.7215909090909091,0.5335461862357516
efficientnet,2,ROS,RGB,True,81,95,3,173,0.18400521034544165,0.7215909090909091,0.9829545454545454,0.4602272727272727,0.6455223880597015,0.7792792792792793,0.7215909090909091,0.5198613887753597
efficientnet,3,ROS,RGB,True,117,58,19,156,0.3414991056919098,0.78,0.8914285714285715,0.6685714285714286,0.7289719626168224,0.8020565552699229,0.78,0.5744466946094943
efficientnet,4,ROS,RGB,True,84,88,21,151,0.32989223058833633,0.6831395348837209,0.877906976744186,0.4883720930232558,0.6317991631799164,0.7347931873479319,0.6831395348837209,0.3976920866900668
efficientnet,5,ROS,RGB,True,100,71,8,163,0.234792936179373,0.7690058479532164,0.9532163742690059,0.5847953216374269,0.6965811965811965,0.8049382716049382,0.7690058479532164,0.5787193730072379
efficientnet,1,ROS,RGB,False,500,7,263,244,1.247763993707164,0.7337278106508877,0.4812623274161736,0.9861932938856016,0.9721115537848606,0.6437994722955145,0.7337278106508875,0.5415632879735898
efficientnet,2,ROS,RGB,False,493,12,189,316,0.8857060408238138,0.800990099009901,0.6257425742574257,0.9762376237623762,0.9634146341463414,0.758703481392557,0.800990099009901,0.6427535358601056
efficientnet,3,ROS,RGB,False,486,18,202,302,0.9177870580128261,0.7817460317460317,0.5992063492063492,0.9642857142857143,0.94375,0.7330097087378641,0.7817460317460317,0.6052699762800452
efficientnet,4,ROS,RGB,False,488,14,331,171,0.9624583828021805,0.6563745019920318,0.34063745019920316,0.9721115537848606,0.9243243243243243,0.4978165938864629,0.6563745019920318,0.4033405046403878
efficientnet,5,ROS,RGB,False,495,6,333,168,1.459652598627551,0.6616766467065868,0.33532934131736525,0.9880239520958084,0.9655172413793104,0.49777777777777776,0.6616766467065869,0.4268007972576084
efficientnet,1,ROS,RGB,True,472,35,106,401,0.723821247940703,0.8609467455621302,0.7909270216962525,0.9309664694280079,0.9197247706422018,0.8504772004241782,0.8609467455621302,0.7290778791210772
efficientnet,2,ROS,RGB,True,474,31,79,426,0.41971925713195657,0.8910891089108911,0.8435643564356435,0.9386138613861386,0.9321663019693655,0.8856548856548857,0.891089108910891,0.7857355989038601
efficientnet,3,ROS,RGB,True,460,44,140,364,0.732903306919431,0.8174603174603174,0.7222222222222222,0.9126984126984127,0.8921568627450981,0.7982456140350878,0.8174603174603174,0.6467616667635546
